Model,Dataset,Scenario,AUC,F1
XGB-Synthetic,iris,IID,0.7377 ± 0.0620,0.7828 ± 0.1057
XGB-Synthetic,breast_cancer,IID,0.6436 ± 0.2605,0.6503 ± 0.1325
XGB-Synthetic,titanic,IID,0.5786 ± 0.0951,0.4440 ± 0.1228
XGB-Synthetic,iris,Dirichlet (0.5),0.7794 ± 0.1274,0.7630 ± 0.1147
XGB-Synthetic,breast_cancer,Dirichlet (0.5),0.6451 ± 0.2429,0.5845 ± 0.1229
XGB-Synthetic,titanic,Dirichlet (0.5),0.5791 ± 0.0960,0.4117 ± 0.1264
XGB-Synthetic,iris,Dirichlet (0.1),0.8041 ± 0.0814,0.7829 ± 0.0868
XGB-Synthetic,breast_cancer,Dirichlet (0.1),0.7006 ± 0.1818,0.6600 ± 0.1042
XGB-Synthetic,titanic,Dirichlet (0.1),0.5683 ± 0.1184,0.4198 ± 0.1424
XGB-Synthetic,iris,Dirichlet (0.01),0.8251 ± 0.1038,0.7736 ± 0.1216
XGB-Synthetic,breast_cancer,Dirichlet (0.01),0.6365 ± 0.2238,0.5546 ± 0.1523
XGB-Synthetic,titanic,Dirichlet (0.01),0.5733 ± 0.0628,0.5070 ± 0.0068
IsoForest,iris,IID,0.9723 ± 0.0202,0.9271 ± 0.0411
IsoForest,breast_cancer,IID,0.9140 ± 0.0481,0.8417 ± 0.0163
IsoForest,titanic,IID,0.6303 ± 0.1230,0.4757 ± 0.1290
IsoForest,iris,Dirichlet (0.5),0.9675 ± 0.0300,0.9443 ± 0.0137
IsoForest,breast_cancer,Dirichlet (0.5),0.9095 ± 0.0568,0.8306 ± 0.0085
IsoForest,titanic,Dirichlet (0.5),0.6234 ± 0.1201,0.4919 ± 0.1064
IsoForest,iris,Dirichlet (0.1),0.9635 ± 0.0235,0.9311 ± 0.0383
IsoForest,breast_cancer,Dirichlet (0.1),0.9179 ± 0.0507,0.8343 ± 0.0039
IsoForest,titanic,Dirichlet (0.1),0.6304 ± 0.1186,0.5116 ± 0.0886
IsoForest,iris,Dirichlet (0.01),0.9649 ± 0.0209,0.9394 ± 0.0191
IsoForest,breast_cancer,Dirichlet (0.01),0.9261 ± 0.0463,0.8368 ± 0.0019
IsoForest,titanic,Dirichlet (0.01),0.6375 ± 0.1230,0.4619 ± 0.1355
