signature,dataset,partition,run_id,model_name,type,accuracy,auroc
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-000,local_client,0.8985676702718504,0.9894470592215162
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-001,local_client,0.9254603916983338,0.9925390629657629
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-002,local_client,0.9143525285004385,0.9921236867241885
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-003,local_client,0.8021046477638117,0.9687335447724824
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-004,local_client,0.8935983630517392,0.9887902038273072
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-005,local_client,0.8848289973691903,0.9825422317661414
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-006,local_client,0.8360128617363344,0.9840507742590379
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,client-007,local_client,0.9248757673194973,0.9930380716416378
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,AVG Local,aggregate,0.8849751534638994,0.9864080793972594
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T07-25-45Z,PoE Ensemble,ensemble,0.937445191464484,0.9945774131591743
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T02-05-56Z,client-000,local_client,0.8973984215141771,0.9898408555413039
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T02-05-56Z,client-001,local_client,0.9269219526454253,0.9918035789045752
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T02-05-56Z,client-002,local_client,0.9137679041216019,0.991512549749578
medmnist:bloodmnist | silos | 0.1 | 10 | diffusion | 128 | False | local,medmnist:bloodmnist,silos,T02-05-56Z,client-003,local_client,0.7953814674071908,0.9680467966262793
