gen_index,rank,real_index,distance
0,0,149,10.906104
0,1,297,11.196612
0,2,246,11.522473
0,3,112,11.661420
0,4,227,11.847738
1,0,17,9.609785
1,1,109,10.084563
1,2,104,10.201061
1,3,145,10.248940
1,4,4,10.377382
2,0,74,9.399395
2,1,30,9.662970
2,2,155,10.084552
2,3,77,10.092422
2,4,145,10.109290
3,0,145,9.127197
3,1,114,9.192797
3,2,155,9.533017
3,3,162,9.769221
3,4,77,9.803402
4,0,15,11.401840
4,1,309,11.593339
4,2,292,11.707907
4,3,186,11.771381
4,4,241,11.910132
5,0,61,8.857294
5,1,131,9.863571
5,2,50,9.903634
5,3,248,10.348803
5,4,168,10.394331
6,0,39,10.120849
6,1,212,10.134577
6,2,303,10.260133
6,3,143,10.487754
6,4,187,10.533165
7,0,304,9.354999
7,1,276,9.682537
7,2,145,9.709356
7,3,133,9.907282
7,4,155,10.006269
8,0,61,9.981156
8,1,3,10.130147
8,2,215,10.462296
8,3,176,10.482084
8,4,23,10.528998
9,0,22,7.995967
9,1,219,8.234067
9,2,107,8.429090
9,3,234,8.434194
9,4,93,8.465470
10,0,267,11.248519
10,1,152,12.296833
10,2,245,12.379308
10,3,185,12.532692
10,4,126,12.995748
11,0,26,10.870759
11,1,273,11.074585
11,2,116,11.284688
11,3,231,11.308960
11,4,277,11.381759
12,0,166,7.204548
12,1,258,7.961095
12,2,21,8.253247
12,3,38,8.331393
12,4,286,8.440335
13,0,40,10.792949
13,1,143,10.794964
13,2,303,10.914776
13,3,291,11.169995
13,4,86,11.464303
14,0,23,9.982985
14,1,219,10.056248
14,2,113,10.079421
14,3,131,10.115293
14,4,243,10.195818
15,0,191,10.100194
15,1,122,10.185217
15,2,207,10.402639
15,3,84,10.590310
15,4,156,10.593713
16,0,61,9.756273
16,1,131,10.077826
16,2,201,10.200164
16,3,215,10.220440
16,4,248,10.232505
17,0,144,11.082221
17,1,296,11.455565
17,2,61,11.494036
17,3,51,11.505856
17,4,68,11.565237
18,0,17,10.394386
18,1,38,10.423735
18,2,208,10.883575
18,3,222,10.890656
18,4,37,10.939646
19,0,38,10.662575
19,1,150,11.002513
19,2,207,11.159303
19,3,15,11.212831
19,4,17,11.367322
20,0,290,11.944530
20,1,229,12.065533
20,2,145,12.211277
20,3,276,12.222154
20,4,180,12.709411
21,0,145,10.101082
21,1,211,10.634830
21,2,28,10.944404
21,3,0,10.977978
21,4,276,11.145136
22,0,130,8.101159
22,1,114,9.065880
22,2,155,9.110511
22,3,146,9.384159
22,4,145,9.475017
23,0,35,9.507456
23,1,82,10.038384
23,2,46,11.618073
23,3,25,11.621650
23,4,76,11.675867
24,0,241,10.336247
24,1,277,10.404059
24,2,233,10.463472
24,3,156,10.467170
24,4,238,10.698219
25,0,292,10.692756
25,1,36,10.754371
25,2,233,10.969426
25,3,156,11.405600
