gen_index,rank,real_index,distance
0,0,119,13.185815
0,1,557,13.758964
0,2,797,13.840029
0,3,889,14.021211
0,4,521,14.031398
1,0,135,12.665243
1,1,142,12.822524
1,2,521,13.055959
1,3,540,13.078377
1,4,659,13.665499
2,0,603,15.967160
2,1,540,16.347445
2,2,689,16.637791
2,3,37,16.802229
2,4,438,16.881325
3,0,744,15.238120
3,1,288,16.024029
3,2,490,16.169643
3,3,315,16.404425
3,4,450,16.444736
4,0,327,13.900723
4,1,578,14.397000
4,2,812,14.628675
4,3,266,14.922282
4,4,724,15.080688
5,0,956,13.429625
5,1,576,13.893366
5,2,673,14.301801
5,3,787,14.320119
5,4,149,14.529164
6,0,658,14.773900
6,1,745,15.180751
6,2,634,15.443783
6,3,777,15.861636
6,4,537,15.871439
7,0,946,13.472223
7,1,380,13.556056
7,2,501,13.813295
7,3,902,14.060176
7,4,68,14.151012
8,0,580,11.289852
8,1,493,11.786917
8,2,543,11.949119
8,3,584,12.292824
8,4,544,12.409644
9,0,419,12.099363
9,1,676,12.534759
9,2,490,13.212515
9,3,79,13.561373
9,4,422,13.614037
10,0,682,10.687155
10,1,385,11.259680
10,2,973,11.417508
10,3,217,11.441022
10,4,48,11.680709
11,0,730,10.822552
11,1,341,10.860260
11,2,948,10.994261
11,3,895,11.085239
11,4,49,11.229492
12,0,239,15.417559
12,1,273,15.527587
12,2,594,16.559322
12,3,117,16.582134
12,4,882,16.612318
13,0,844,16.320360
13,1,413,16.521156
13,2,381,16.554516
13,3,860,16.690956
13,4,155,16.860443
14,0,892,8.594819
14,1,838,8.664264
14,2,421,8.859506
14,3,767,8.908298
14,4,890,9.594484
15,0,833,14.834092
15,1,621,14.855329
15,2,344,14.992291
15,3,339,15.173808
15,4,540,15.322312
16,0,411,13.076512
16,1,353,13.752366
16,2,779,13.787938
16,3,644,13.954207
16,4,557,14.027164
17,0,420,13.864806
17,1,935,13.884661
17,2,235,14.231898
17,3,495,14.251219
17,4,133,14.273993
18,0,149,13.616739
18,1,399,14.264988
18,2,976,14.304946
18,3,787,14.315967
18,4,540,14.367873
19,0,493,13.783066
19,1,677,13.820121
19,2,375,14.003618
19,3,290,14.034401
19,4,169,14.081400
20,0,511,13.395565
20,1,422,13.975135
20,2,965,14.044257
20,3,119,14.127834
20,4,446,14.155181
21,0,599,13.439076
21,1,135,13.703232
21,2,37,14.119252
21,3,659,14.263192
21,4,238,14.358702
22,0,230,12.879655
22,1,380,13.166075
22,2,192,13.499934
22,3,700,13.607110
22,4,902,13.654567
23,0,230,13.151937
23,1,142,13.166710
23,2,198,13.179889
23,3,973,13.244436
23,4,220,13.387921
24,0,682,12.662098
24,1,235,13.029062
24,2,133,13.111429
