gen_index,rank,real_index,distance
0,0,115,9.180126
0,1,43,9.908782
0,2,23,9.926715
0,3,141,9.968358
0,4,126,10.036448
1,0,99,13.686913
1,1,66,15.466432
1,2,53,15.640984
1,3,65,15.799541
1,4,6,15.896650
2,0,139,13.662946
2,1,126,13.684968
2,2,140,13.810668
2,3,105,13.847468
2,4,23,13.851425
3,0,139,11.276078
3,1,104,11.712204
3,2,110,11.716974
3,3,34,11.765279
3,4,76,11.962672
4,0,23,9.469346
4,1,104,9.638833
4,2,126,10.098327
4,3,103,10.337257
4,4,74,10.518993
5,0,23,8.443497
5,1,126,8.663573
5,2,115,9.015627
5,3,141,9.037809
5,4,104,9.190121
6,0,106,12.723128
6,1,43,12.973114
6,2,16,13.327867
6,3,86,13.334727
6,4,116,13.425862
7,0,69,14.005976
7,1,83,14.021251
7,2,13,14.033110
7,3,139,14.257138
7,4,71,14.638904
8,0,35,11.730093
8,1,85,11.980812
8,2,19,12.526485
8,3,100,12.897241
8,4,11,13.024970
9,0,110,11.265270
9,1,122,11.652395
9,2,70,12.015297
9,3,114,12.066504
9,4,121,12.179906
10,0,111,13.448709
10,1,83,13.981116
10,2,13,14.533401
10,3,69,14.608045
10,4,142,15.216901
11,0,139,13.152824
11,1,64,13.463334
11,2,34,13.564826
11,3,140,13.626521
11,4,74,13.737159
12,0,140,14.782242
12,1,105,14.827153
12,2,126,14.878622
12,3,139,15.093341
12,4,116,15.184593
13,0,99,13.824355
13,1,6,14.813333
13,2,5,14.840063
13,3,53,14.927067
13,4,90,15.092355
14,0,110,8.921142
14,1,138,10.044025
14,2,76,10.064445
14,3,64,10.116322
14,4,86,10.207664
15,0,138,10.684087
15,1,110,10.690822
15,2,129,11.139877
15,3,90,11.467811
15,4,70,11.583899
16,0,136,11.212865
16,1,88,11.585688
16,2,128,11.615627
16,3,133,11.770583
16,4,112,12.188822
17,0,43,13.573110
17,1,17,14.173823
17,2,106,14.274746
17,3,22,14.535716
17,4,116,14.560216
18,0,5,12.727164
18,1,53,12.848270
18,2,66,12.992643
18,3,90,13.430677
18,4,75,13.700898
19,0,139,14.559497
19,1,106,15.678278
19,2,83,15.772083
19,3,45,15.786608
19,4,141,15.924147
20,0,95,8.707351
20,1,113,9.456659
20,2,34,9.688568
20,3,74,10.068997
20,4,64,10.073761
21,0,72,12.419470
21,1,20,12.520072
21,2,117,12.653597
21,3,2,12.868082
21,4,83,12.999849
22,0,61,7.329332
22,1,23,7.871955
22,2,95,8.044834
22,3,82,8.103804
22,4,34,8.591255
23,0,30,11.420248
23,1,49,11.716305
23,2,46,11.737899
23,3,76,11.869639
23,4,64,11.994479
24,0,114,13.928919
24,1,127,14.285429
