gen_index,rank,real_index,distance
0,0,162,13.304552
0,1,177,13.595966
0,2,249,13.833836
0,3,12,13.851242
0,4,312,14.077107
1,0,24,7.846135
1,1,161,7.922235
1,2,51,8.569770
1,3,67,8.840026
1,4,200,9.072746
2,0,153,9.397791
2,1,290,9.984424
2,2,225,10.202030
2,3,8,10.293454
2,4,22,10.298769
3,0,12,11.520321
3,1,82,12.211255
3,2,202,12.359973
3,3,307,12.396848
3,4,177,12.422673
4,0,177,9.356189
4,1,63,9.852055
4,2,156,10.251452
4,3,77,10.294210
4,4,51,10.296621
5,0,236,10.208692
5,1,12,11.447766
5,2,251,11.462918
5,3,177,11.762348
5,4,250,11.948135
6,0,12,9.949926
6,1,51,10.237689
6,2,177,10.641083
6,3,251,10.942440
6,4,188,11.045298
7,0,144,8.968689
7,1,316,9.184936
7,2,51,9.388204
7,3,183,9.503969
7,4,251,9.546287
8,0,217,8.481771
8,1,334,8.719037
8,2,245,8.918844
8,3,9,9.164712
8,4,306,9.211802
9,0,242,8.364911
9,1,257,10.012446
9,2,8,10.300869
9,3,83,10.435816
9,4,24,10.548223
10,0,82,10.759186
10,1,301,11.628365
10,2,312,11.654904
10,3,177,11.873211
10,4,221,12.175369
11,0,312,8.860927
11,1,288,9.319917
11,2,267,9.386318
11,3,177,9.504403
11,4,274,9.577144
12,0,80,7.693984
12,1,285,7.871283
12,2,105,8.143639
12,3,282,8.363178
12,4,65,8.566134
13,0,82,11.845613
13,1,177,12.692409
13,2,236,12.767143
13,3,12,12.848969
13,4,322,13.449366
14,0,304,8.967644
14,1,197,9.172255
14,2,83,9.175175
14,3,290,9.261613
14,4,74,9.291142
15,0,251,9.472788
15,1,12,9.690012
15,2,51,9.791992
15,3,267,9.859505
15,4,177,10.072737
16,0,177,10.592195
16,1,156,11.422976
16,2,63,11.610608
16,3,51,11.618953
16,4,236,11.647146
17,0,105,5.987949
17,1,67,6.077869
17,2,163,6.813235
17,3,65,6.914495
17,4,127,6.944306
18,0,177,13.090356
18,1,82,13.280050
18,2,221,13.580027
18,3,312,13.617000
18,4,156,13.733215
19,0,144,10.260165
19,1,177,10.489473
19,2,251,10.537437
19,3,327,11.117800
19,4,125,11.147507
20,0,99,11.631522
20,1,177,11.873357
20,2,12,12.363459
20,3,250,12.411596
20,4,63,12.547089
21,0,101,9.224735
21,1,24,9.228750
21,2,174,9.488747
21,3,130,9.860879
21,4,290,10.038765
22,0,51,9.580167
22,1,312,9.834729
22,2,68,10.142349
22,3,322,10.187617
22,4,82,10.200770
23,0,12,11.706141
23,1,82,11.788570
23,2,177,12.067552
23,3,41,12.076887
23,4,156,12.340258
24,0,177,9.118205
24,1,63,9.366895
24,2,123,9.787469
24,3,188,9.886987
24,4,251,9.900356
25,0,12,7.883809
25,1,221,9.459838
25,2,244,9.527727
25,3,312,9.613352
25,4,11,9.624575
26,0,63,8.605755
26,1,267,9.003844
26,2,307,9.023092
26,3,177,9.029141
26,4,123,9.115420
27,0,298,7.419412
27,1,287,7.619924
27,2,316,7.839773
27,3,186,7.871733
27,4,23,8.089511
28,0,304,8.016105
28,1,81,8.600591
28,2,78,8.792982
28,3,153,9.120400
28,4,63,9.208757
29,0,105,5.796570
29,1,295,5.858265
29,2,101,6.504215
29,3,285,6.621586
29,4,183,6.925529
30,0,156,12.578023
30,1,63,12.703010
30,2,12,13.160284
30,3,177,13.318957
30,4,123,13.330174
31,0,153,7.894627
31,1,290,8.460415
31,2,304,8.799223
31,3,78,9.053758
31,4,22,9.184537
32,0,12,13.565495
32,1,250,13.855871
32,2,236,13.969968
32,3,162,14.224772
32,4,177,14.416641
33,0,51,7.959622
33,1,77,8.746801
33,2,270,8.815637
33,3,267,8.823585
33,4,251,9.205300
34,0,82,12.644118
34,1,156,12.786445
34,2,177,13.316535
34,3,202,13.371345
34,4,123,13.718181
35,0,200,8.673965
35,1,307,8.907203
35,2,51,8.922590
35,3,24,8.987629
35,4,77,9.163813
36,0,12,13.844852
36,1,241,13.988870
36,2,177,14.191977
36,3,149,14.237514
36,4,156,14.368073
37,0,236,11.145678
37,1,77,12.843196
37,2,117,13.155173
37,3,12,13.304681
37,4,149,13.368758
38,0,325,10.479076
38,1,127,10.573528
38,2,244,10.585805
38,3,163,10.617081
38,4,80,10.785667
39,0,270,11.329870
39,1,327,11.371069
39,2,267,11.492851
39,3,251,11.689525
39,4,200,11.722088
40,0,153,9.773693
40,1,272,10.138573
40,2,304,10.353989
40,3,290,10.365168
40,4,85,10.578918
41,0,65,5.964085
41,1,163,6.299312
41,2,323,6.431638
41,3,127,6.444479
41,4,101,6.713120
42,0,316,8.622063
42,1,267,8.623821
42,2,287,8.745566
42,3,115,8.907788
42,4,312,9.058647
43,0,101,7.633820
43,1,285,7.723671
43,2,80,7.830807
43,3,105,7.988855
43,4,130,7.993249
44,0,63,10.042302
44,1,304,10.288918
44,2,156,10.645401
44,3,81,10.719074
44,4,78,10.816216
45,0,51,8.085575
45,1,12,8.350759
45,2,177,8.900948
45,3,312,8.907694
45,4,309,9.313666
46,0,12,7.051733
46,1,22,7.454402
46,2,51,7.482642
46,3,263,7.493540
46,4,67,7.513373
47,0,153,7.268166
47,1,174,7.570276
47,2,290,7.660550
47,3,209,7.877666
47,4,314,8.343702
48,0,304,8.872850
48,1,81,8.918625
48,2,290,9.226936
48,3,63,9.532601
48,4,22,9.586848
49,0,12,8.243679
49,1,309,8.491156
49,2,307,8.773448
49,3,177,8.808569
49,4,202,8.861249
50,0,251,8.610785
50,1,177,8.957749
50,2,51,9.013600
50,3,144,9.053042
50,4,77,9.115788
51,0,282,6.275451
51,1,101,6.654659
51,2,285,6.682058
51,3,36,6.768849
51,4,186,6.780134
52,0,304,9.462289
52,1,12,9.882147
52,2,319,10.040501
52,3,241,10.145165
52,4,63,10.184277
53,0,82,13.520314
53,1,5,13.714060
53,2,202,13.986339
53,3,12,14.524410
53,4,85,14.570989
54,0,177,12.590791
54,1,82,13.080146
54,2,12,13.548445
54,3,99,13.594657
54,4,307,13.640274
55,0,236,13.834754
55,1,156,14.202281
55,2,177,14.229481
55,3,12,14.422484
55,4,181,14.675737
56,0,236,11.298077
56,1,270,11.525739
56,2,77,11.552862
56,3,7,12.024750
56,4,99,12.081561
57,0,63,9.065655
57,1,78,9.273333
57,2,304,9.416185
57,3,123,9.853427
57,4,82,9.902928
58,0,174,7.858890
58,1,257,8.323433
58,2,90,8.342989
58,3,83,8.797416
58,4,225,8.826389
59,0,251,11.290059
59,1,12,11.394264
59,2,177,11.600960
59,3,250,11.884940
59,4,11,11.950311
60,0,82,11.327338
60,1,202,13.007667
60,2,322,13.665532
60,3,156,13.902225
60,4,301,13.914049
61,0,82,12.527752
61,1,156,13.721688
61,2,307,14.230277
61,3,123,14.241354
61,4,267,14.260699
62,0,285,7.724264
62,1,80,7.957030
62,2,282,7.970442
62,3,49,8.480590
62,4,130,8.530127
63,0,144,8.498029
63,1,251,8.564264
63,2,327,8.659824
63,3,303,8.741409
63,4,67,8.811409
64,0,332,7.774533
64,1,83,8.154027
64,2,80,8.316729
64,3,40,8.441581
64,4,105,8.527586
65,0,51,8.010723
65,1,177,8.040270
65,2,229,8.052009
