gen_index,rank,real_index,distance
0,0,11,9.809483
0,1,9,11.299438
0,2,4,11.392910
0,3,12,12.115495
0,4,10,12.907281
1,0,12,9.822021
1,1,14,10.962711
1,2,17,11.419147
1,3,4,11.734531
1,4,11,12.122035
2,0,11,10.333153
2,1,12,10.344700
2,2,1,11.053721
2,3,7,11.913192
2,4,17,11.983089
3,0,12,12.575866
3,1,14,12.740969
3,2,11,13.016270
3,3,17,13.607890
3,4,1,13.660012
4,0,4,9.590753
4,1,10,9.784838
4,2,11,11.327969
4,3,9,12.066586
4,4,12,12.147239
5,0,9,9.364496
5,1,11,10.786811
5,2,15,11.355944
5,3,7,11.356071
5,4,4,11.634019
6,0,11,10.862744
6,1,12,11.094171
6,2,18,12.158669
6,3,16,12.724802
6,4,14,12.867339
7,0,11,9.868907
7,1,12,11.268769
7,2,18,11.566242
7,3,7,11.897281
7,4,15,12.025247
8,0,11,8.824103
8,1,19,10.081958
8,2,6,11.272625
8,3,8,11.666393
8,4,4,12.233856
9,0,1,11.060417
9,1,11,11.097966
9,2,12,11.724541
9,3,14,11.877544
9,4,6,12.594455
10,0,12,12.533877
10,1,14,12.751345
10,2,11,12.916104
10,3,17,13.614724
10,4,1,13.614780
11,0,9,11.040663
11,1,11,11.051886
11,2,19,11.650213
11,3,15,11.709689
11,4,4,11.724184
12,0,12,11.375885
12,1,9,11.937328
12,2,17,11.969074
12,3,15,12.245069
12,4,4,12.305801
13,0,11,10.371626
13,1,4,10.821415
13,2,9,11.410118
13,3,12,12.235203
13,4,10,12.501384
14,0,11,10.275146
14,1,4,10.914783
14,2,9,11.550117
14,3,12,12.261596
14,4,10,12.472103
15,0,12,11.218361
15,1,11,11.253377
15,2,4,11.998528
15,3,14,12.329199
15,4,9,12.787645
16,0,7,8.529185
16,1,15,9.739017
16,2,3,10.277652
16,3,19,11.103278
16,4,11,11.582771
17,0,11,8.720448
17,1,19,10.029921
17,2,6,10.887699
17,3,8,11.384799
17,4,0,11.990905
18,0,11,10.687423
18,1,1,11.214932
18,2,7,11.351520
18,3,15,11.572159
18,4,9,11.720966
19,0,9,9.152960
19,1,11,10.870105
19,2,7,11.290095
19,3,15,11.295862
19,4,4,11.642673
20,0,19,7.506166
20,1,11,9.485389
20,2,3,10.017002
20,3,8,10.075618
20,4,6,10.428376
21,0,5,8.055513
21,1,0,9.237795
21,2,10,10.320971
21,3,4,10.362391
21,4,8,10.465094
22,0,11,10.852401
22,1,12,12.261745
22,2,9,12.970724
22,3,4,12.981260
22,4,18,13.512726
23,0,17,12.362575
23,1,12,12.515757
23,2,16,13.437857
23,3,14,13.438023
23,4,10,13.877261
24,0,11,9.699432
24,1,4,11.449828
24,2,18,12.008371
24,3,6,12.178956
24,4,12,12.804869
25,0,11,8.427345
25,1,19,9.882872
25,2,16,10.303185
25,3,8,10.378976
25,4,10,10.481012
26,0,11,9.846192
26,1,12,11.658022
26,2,9,11.749678
26,3,4,11.951282
26,4,1,12.133962
27,0,11,10.759608
27,1,12,11.934675
27,2,4,12.126133
27,3,9,12.615064
27,4,15,13.069948
28,0,5,8.972713
28,1,0,9.173721
28,2,10,9.826724
28,3,8,9.883835
28,4,4,10.523379
29,0,1,10.425593
29,1,12,10.441061
29,2,17,11.202243
29,3,14,12.179918
29,4,16,12.297677
30,0,11,7.638248
30,1,18,11.533791
30,2,4,11.864456
30,3,12,11.944367
30,4,16,11.968118
31,0,11,9.856601
31,1,12,11.758615
31,2,4,12.606753
31,3,1,12.735357
31,4,18,12.947592
32,0,9,9.871328
32,1,4,12.487511
32,2,15,12.812055
32,3,11,13.569107
32,4,7,13.761698
33,0,16,9.412197
33,1,12,11.138182
33,2,1,11.280481
33,3,17,11.524771
33,4,18,11.965443
34,0,11,10.863975
34,1,12,12.030235
34,2,4,12.176460
34,3,9,12.675901
34,4,15,13.094067
35,0,11,9.175072
35,1,9,11.130154
35,2,12,11.448003
35,3,4,11.479779
35,4,7,11.962774
36,0,11,10.208113
36,1,4,10.931106
36,2,9,11.391316
36,3,12,12.094164
36,4,10,12.542212
37,0,11,9.788601
37,1,4,10.657997
37,2,12,10.792953
37,3,7,11.176004
37,4,14,11.248410
38,0,5,12.038634
38,1,4,12.041235
38,2,11,12.722821
38,3,10,12.951113
38,4,9,13.264307
39,0,11,10.174674
39,1,4,12.417514
39,2,12,12.532806
39,3,18,12.784261
39,4,16,13.358525
40,0,10,8.552854
40,1,0,8.629234
40,2,8,9.080299
40,3,5,9.409173
40,4,4,9.812786
41,0,2,10.047194
41,1,11,10.639954
41,2,7,11.514390
41,3,15,11.598666
41,4,14,11.636330
42,0,1,10.198186
42,1,12,10.277774
42,2,17,11.063082
42,3,16,12.237886
42,4,14,12.256702
43,0,11,8.738787
43,1,19,10.162107
43,2,6,11.336974
43,3,8,11.844922
43,4,4,12.346991
44,0,12,10.493104
44,1,17,11.520077
44,2,14,11.871337
44,3,9,12.772917
44,4,11,12.840760
45,0,11,9.462592
45,1,16,9.808975
45,2,12,9.843304
45,3,18,10.980279
45,4,14,11.110468
46,0,2,9.907165
46,1,11,10.544311
46,2,7,11.313562
46,3,15,11.469362
46,4,12,11.659213
47,0,10,8.411030
47,1,4,9.047564
47,2,0,10.518918
47,3,5,10.790553
47,4,17,10.903653
48,0,12,10.804594
48,1,11,11.301991
48,2,7,12.161862
48,3,1,12.362967
48,4,16,12.487553
49,0,12,11.149384
49,1,15,12.076020
49,2,17,12.112644
49,3,14,12.476494
49,4,7,12.584807
50,0,11,10.880383
50,1,1,11.239187
50,2,7,11.291871
50,3,15,11.520227
50,4,9,11.792975
51,0,12,9.807435
51,1,1,10.532386
51,2,17,10.777728
51,3,14,11.309109
51,4,16,11.613885
52,0,11,9.842275
52,1,9,11.257558
52,2,4,11.447664
52,3,12,12.219307
52,4,10,12.975904
53,0,11,9.499129
53,1,9,9.836604
53,2,15,10.854962
