Dataset,Class,FID,KID
CIFAR,class-000_airplane,29.067029081376347,1.7100844374092539
CIFAR,class-001_automobile,22.50176801336363,1.378715760329774
CIFAR,class-002_bird,27.277358738301928,1.5884824627560246
CIFAR,class-003_cat,46.66739813224655,3.483191494223936
CIFAR,class-004_deer,22.098517026343927,1.4987357961326442
CIFAR,class-005_dog,35.40374120256786,2.1552496338594906
CIFAR,class-006_frog,41.01879775288637,3.0916157550564094
CIFAR,class-007_horse,15.010909278976555,0.5781993919583339
CIFAR,class-008_ship,19.321944284952906,1.0002497167800772
CIFAR,class-009_truck,25.745668928513453,1.8480674626770277
BloodMNIST,class-000,84.01052891237441,10.760955738943156
BloodMNIST,class-001,61.54097160551103,8.827870721939801
BloodMNIST,class-002,45.07604873619704,4.6290885583854635
BloodMNIST,class-003,50.36776033047724,6.334574439563179
BloodMNIST,class-004,60.58357459593495,7.535365268695138
BloodMNIST,class-005,66.41697013428436,7.6851107545862
BloodMNIST,class-006,50.78241008158582,6.7644577638839465
BloodMNIST,class-007,27.19076537784491,2.9675830390974323
RetinaMNIST,class-000,38.4913758911739,3.5185436863199193
RetinaMNIST,class-001,58.40451688774374,3.0289195205712716
RetinaMNIST,class-002,38.77181836703815,2.8543370042064975
RetinaMNIST,class-003,44.088102147086516,2.898209133953733
RetinaMNIST,class-004,58.875537284105604,3.9055213000827926
PathMNIST,class-000,38.19662449933733,3.8309923946945545
PathMNIST,class-001,33.851079734636045,2.923616424424935
PathMNIST,class-002,77.25442539411944,8.9487926529356
PathMNIST,class-003,103.8473630456575,14.327641447482264
PathMNIST,class-004,57.24069119639822,6.749467270781384
PathMNIST,class-005,64.21333470904202,7.0067235220785395
PathMNIST,class-006,64.67853083379441,7.6277055718505515
PathMNIST,class-007,79.69241937109092,10.42906120953222
PathMNIST,class-008,70.85640242819659,8.94312203369756
ISIC2019,class-000,38.80196432746544,1.5908068805214448
ISIC2019,class-001,41.17757754412003,2.1842232371211523
ISIC2019,class-002,30.014796633373123,1.4605052229874183
ISIC2019,class-003,40.91355958332025,1.2311953155926592
ISIC2019,class-004,45.542883777999066,1.9016952821123034
ISIC2019,class-005,76.6744853599713,1.852902926518718
ISIC2019,class-006,82.39437485571557,1.7580759874383567
ISIC2019,class-007,55.548702626162424,1.9173827363641482
